Flight ID,Departure date,Intl/Dome,Flight NO.,Departure airport,Arrival airport,Departure Time,Arrival Time,Airplane ID,Airplane Model,Air fares
31,5/8/2017,Dome,354,71,32,5/8/2017 12:30,5/8/2017 14:15,90,2,1022
32,5/8/2017,Dome,354,32,49,5/8/2017 15:15,5/8/2017 16:40,90,2,484
33,5/7/2017,Dome,365,72,50,5/7/2017 20:25,5/7/2017 23:10,99,2,668
34,5/5/2017,Dome,357,50,67,5/5/2017 10:50,5/5/2017 13:20,33,1,649
35,5/6/2017,Dome,357,50,67,5/6/2017 10:50,5/6/2017 13:20,12,2,610
36,5/7/2017,Dome,357,50,67,5/7/2017 10:50,5/7/2017 13:20,15,2,1100
37,5/8/2017,Dome,357,50,67,5/8/2017 10:50,5/8/2017 13:20,74,2,1218
38,5/8/2017,Dome,352,68,49,5/8/2017 21:15,5/8/2017 23:10,30,1,638
39,5/6/2017,Dome,365,72,50,5/6/2017 20:25,5/6/2017 23:10,101,2,793
40,5/5/2017,Dome,365,72,50,5/5/2017 20:25,5/5/2017 23:10,76,2,899
41,5/8/2017,Dome,365,72,50,5/8/2017 20:25,5/8/2017 23:10,73,2,971
42,5/5/2017,Dome,353,49,32,5/5/2017 7:15,5/5/2017 8:50,90,2,839
43,5/6/2017,Dome,353,49,32,5/6/2017 7:15,5/6/2017 8:50,7,2,932
44,5/7/2017,Dome,353,49,32,5/7/2017 7:15,5/7/2017 8:50,92,2,384
45,5/8/2017,Dome,353,49,32,5/8/2017 7:15,5/8/2017 8:50,90,2,778
46,5/5/2017,Dome,354,71,32,5/5/2017 12:30,5/5/2017 14:15,90,2,668
47,5/5/2017,Dome,354,32,49,5/5/2017 15:15,5/5/2017 16:40,90,2,581
48,5/6/2017,Dome,354,71,32,5/6/2017 12:30,5/6/2017 14:15,7,2,1013
49,5/5/2017,Dome,358,67,50,5/5/2017 14:30,5/5/2017 16:55,33,1,1241
50,5/6/2017,Dome,358,67,50,5/6/2017 14:30,5/6/2017 16:55,12,2,1365
51,5/7/2017,Dome,358,67,50,5/7/2017 14:30,5/7/2017 16:55,15,2,521
52,5/8/2017,Dome,358,67,50,5/8/2017 14:30,5/8/2017 16:55,74,2,817
53,5/6/2017,Dome,354,32,49,5/6/2017 15:15,5/6/2017 16:40,7,2,459
54,5/7/2017,Dome,350,72,50,5/7/2017 11:40,5/7/2017 14:25,69,2,609
55,5/5/2017,Dome,355,49,72,5/5/2017 11:15,5/5/2017 14:10,92,2,1458
56,5/5/2017,Dome,350,72,50,5/5/2017 11:40,5/5/2017 14:25,70,2,698
57,5/6/2017,Dome,350,72,50,5/6/2017 11:40,5/6/2017 14:25,134,2,1038
58,5/8/2017,Dome,350,72,50,5/8/2017 11:40,5/8/2017 14:25,135,2,749
59,5/6/2017,Dome,355,49,72,5/6/2017 11:15,5/6/2017 14:10,29,3,1158
60,5/7/2017,Dome,355,49,72,5/7/2017 11:15,5/7/2017 14:10,29,3,1339
61,5/8/2017,Dome,355,49,72,5/8/2017 11:15,5/8/2017 14:10,29,3,1219
62,5/5/2017,Dome,353,32,71,5/5/2017 10:10,5/5/2017 11:45,90,2,569
63,5/6/2017,Dome,353,32,71,5/6/2017 10:10,5/6/2017 11:45,7,2,505
64,5/7/2017,Dome,353,32,71,5/7/2017 10:10,5/7/2017 11:45,92,2,861
65,5/8/2017,Dome,353,32,71,5/8/2017 10:10,5/8/2017 11:45,90,2,527
66,5/5/2017,Intl,362,49,36,5/5/2017 9:30,5/5/2017 10:45,24,4,938
67,5/7/2017,Dome,351,49,68,5/7/2017 18:20,5/7/2017 20:25,41,1,510
68,5/8/2017,Dome,351,49,68,5/8/2017 18:20,5/8/2017 20:25,30,1,1042
69,5/6/2017,Intl,373,4,36,5/6/2017 4:25,5/6/2017 18:15,24,4,8228
70,5/5/2017,Dome,390,50,48,5/5/2017 15:55,5/5/2017 19:05,44,1,1761
71,5/7/2017,Dome,390,50,48,5/7/2017 15:55,5/7/2017 19:05,40,1,1686
72,5/8/2017,Dome,390,50,48,5/8/2017 15:55,5/8/2017 19:05,45,1,683
73,5/6/2017,Intl,373,36,49,5/6/2017 20:25,5/6/2017 21:40,24,4,1019
74,5/6/2017,Dome,381,49,67,5/6/2017 7:10,5/6/2017 9:50,45,1,568
75,5/8/2017,Dome,381,49,67,5/8/2017 7:10,5/8/2017 9:50,44,1,644
76,5/5/2017,Dome,386,49,67,5/5/2017 21:05,5/5/2017 23:35,140,2,797
77,5/6/2017,Dome,386,49,67,5/6/2017 21:05,5/6/2017 23:35,121,2,860
78,5/7/2017,Dome,386,49,67,5/7/2017 21:05,5/7/2017 23:35,120,2,1357
79,5/8/2017,Dome,386,49,67,5/8/2017 21:05,5/8/2017 23:35,121,2,1201
80,5/6/2017,Dome,381,67,69,5/6/2017 10:55,5/6/2017 13:40,45,1,1622
81,5/8/2017,Dome,381,67,69,5/8/2017 10:55,5/8/2017 13:40,44,1,840
82,5/7/2017,Dome,399,50,38,5/7/2017 18:40,5/7/2017 20:15,65,2,334
83,5/5/2017,Dome,391,48,50,5/5/2017 20:15,5/5/2017 23:00,44,1,902
84,5/7/2017,Dome,391,48,50,5/7/2017 20:15,5/7/2017 23:00,40,1,1131
85,5/8/2017,Dome,391,48,50,5/8/2017 20:15,5/8/2017 23:00,45,1,1672
86,5/5/2017,Dome,368,50,68,5/5/2017 8:50,5/5/2017 11:05,46,1,993
87,5/6/2017,Dome,368,50,68,5/6/2017 8:50,5/6/2017 11:05,101,2,1382
88,5/7/2017,Dome,368,50,68,5/7/2017 8:50,5/7/2017 11:05,98,2,768
89,5/8/2017,Dome,368,50,68,5/8/2017 8:50,5/8/2017 11:05,45,1,1098
90,5/5/2017,Dome,381,49,67,5/5/2017 7:10,5/5/2017 9:50,45,1,557
91,5/5/2017,Dome,381,67,69,5/5/2017 10:55,5/5/2017 13:40,45,1,1473
92,5/5/2017,Dome,387,67,49,5/5/2017 11:45,5/5/2017 14:15,132,2,971
93,5/8/2017,Dome,387,67,49,5/8/2017 11:45,5/8/2017 14:15,131,2,699
94,5/5/2017,Dome,382,69,67,5/5/2017 14:30,5/5/2017 16:55,45,1,1085
95,5/7/2017,Dome,382,69,67,5/7/2017 14:30,5/7/2017 16:55,44,1,1410
96,5/5/2017,Dome,382,67,49,5/5/2017 17:55,5/5/2017 20:25,45,1,924
97,5/7/2017,Dome,382,67,49,5/7/2017 17:55,5/7/2017 20:25,44,1,746
98,5/6/2017,Dome,387,67,49,5/6/2017 11:45,5/6/2017 14:15,5,2,943
99,5/7/2017,Dome,387,67,49,5/7/2017 11:45,5/7/2017 14:15,124,2,1329
100,5/5/2017,Dome,369,68,50,5/5/2017 11:55,5/5/2017 14:10,46,1,1145
101,5/6/2017,Dome,369,68,50,5/6/2017 11:55,5/6/2017 14:10,101,2,556
102,5/7/2017,Dome,369,68,50,5/7/2017 11:55,5/7/2017 14:10,98,2,868
103,5/8/2017,Dome,369,68,50,5/8/2017 11:55,5/8/2017 14:10,45,1,1188
104,5/6/2017,Intl,384,37,49,5/6/2017 14:10,5/6/2017 16:15,115,2,1345
105,5/8/2017,Intl,384,37,49,5/8/2017 14:10,5/8/2017 16:15,12,2,1266
106,5/6/2017,Intl,395,21,49,5/6/2017 9:20,5/6/2017 13:50,13,2,3036
107,5/8/2017,Intl,395,21,49,5/8/2017 9:20,5/8/2017 14:00,93,2,2603
108,5/6/2017,Intl,395,49,37,5/6/2017 15:10,5/6/2017 17:30,13,2,1348
109,5/8/2017,Intl,395,49,37,5/8/2017 15:10,5/8/2017 17:30,93,2,1582
110,5/6/2017,Intl,384,49,21,5/6/2017 17:30,5/6/2017 22:00,115,2,3247
111,5/8/2017,Intl,384,49,21,5/8/2017 17:30,5/8/2017 22:00,12,2,2739
112,5/5/2017,Dome,409,67,49,5/5/2017 15:00,5/5/2017 17:20,106,2,765
113,5/6/2017,Dome,409,67,49,5/6/2017 15:00,5/6/2017 17:20,77,2,848
114,5/7/2017,Dome,400,38,50,5/7/2017 10:55,5/7/2017 12:20,80,2,538
115,5/8/2017,Dome,400,67,38,5/8/2017 8:30,5/8/2017 9:55,17,2,325
116,5/5/2017,Dome,414,62,49,5/5/2017 9:20,5/5/2017 11:15,47,2,598
117,5/7/2017,Dome,414,62,49,5/7/2017 9:20,5/7/2017 11:15,6,2,773
118,5/8/2017,Dome,414,62,49,5/8/2017 9:20,5/8/2017 11:15,80,2,987
119,5/8/2017,Dome,400,38,50,5/8/2017 10:55,5/8/2017 12:20,17,2,404
120,5/5/2017,Dome,400,67,38,5/5/2017 8:30,5/5/2017 9:55,55,2,479
121,5/5/2017,Dome,400,38,50,5/5/2017 10:55,5/5/2017 12:20,55,2,447
122,5/5/2017,Dome,415,32,49,5/5/2017 7:25,5/5/2017 8:55,36,2,729
123,5/6/2017,Dome,415,32,49,5/6/2017 7:25,5/6/2017 8:55,131,2,904
124,5/7/2017,Dome,415,32,49,5/7/2017 7:25,5/7/2017 8:55,84,2,671
125,5/8/2017,Dome,415,32,49,5/8/2017 7:25,5/8/2017 8:55,48,2,368
126,5/5/2017,Dome,401,50,67,5/5/2017 13:45,5/5/2017 16:15,40,1,563
127,5/6/2017,Dome,401,50,67,5/6/2017 13:45,5/6/2017 16:15,33,1,993
128,5/7/2017,Dome,401,50,67,5/7/2017 13:45,5/7/2017 16:15,33,1,1035
129,5/8/2017,Dome,401,50,67,5/8/2017 13:45,5/8/2017 16:15,33,1,524
130,5/6/2017,Dome,407,72,49,5/6/2017 6:35,5/6/2017 9:20,141,2,938
131,5/7/2017,Dome,407,72,49,5/7/2017 6:35,5/7/2017 9:20,90,2,1592
132,5/5/2017,Dome,407,72,49,5/5/2017 6:35,5/5/2017 9:20,130,2,1428
133,5/8/2017,Dome,407,72,49,5/8/2017 6:35,5/8/2017 9:20,134,2,624
134,5/7/2017,Dome,402,67,50,5/7/2017 17:15,5/7/2017 19:35,33,1,1173
135,5/5/2017,Dome,408,49,67,5/5/2017 11:05,5/5/2017 13:45,106,2,1091
136,5/6/2017,Dome,408,49,67,5/6/2017 11:05,5/6/2017 13:45,77,2,950
137,5/7/2017,Dome,408,49,67,5/7/2017 11:05,5/7/2017 13:45,59,2,957
138,5/8/2017,Dome,408,49,67,5/8/2017 11:05,5/8/2017 13:45,30,1,563
139,5/6/2017,Dome,414,62,49,5/6/2017 9:20,5/6/2017 11:15,10,2,747
140,5/5/2017,Dome,402,67,50,5/5/2017 17:15,5/5/2017 19:35,40,1,1047
141,5/6/2017,Dome,402,67,50,5/6/2017 17:15,5/6/2017 19:35,33,1,659
142,5/8/2017,Dome,402,67,50,5/8/2017 17:15,5/8/2017 19:35,33,1,1010
143,5/7/2017,Dome,399,38,67,5/7/2017 21:15,5/7/2017 22:50,65,2,333
144,5/5/2017,Dome,399,50,38,5/5/2017 18:40,5/5/2017 20:15,72,2,750
145,5/8/2017,Dome,399,50,38,5/8/2017 18:40,5/8/2017 20:15,96,2,928
146,5/5/2017,Dome,413,49,62,5/5/2017 7:00,5/5/2017 8:50,69,2,507
147,5/6/2017,Dome,413,49,62,5/6/2017 7:00,5/6/2017 8:50,15,2,797
148,5/7/2017,Dome,413,49,62,5/7/2017 7:00,5/7/2017 8:50,50,2,646
149,5/8/2017,Dome,413,49,62,5/8/2017 7:00,5/8/2017 8:50,92,2,1105
150,5/5/2017,Dome,399,38,67,5/5/2017 21:15,5/5/2017 22:50,72,2,419
151,5/8/2017,Dome,399,38,67,5/8/2017 21:15,5/8/2017 22:50,96,2,940
152,5/7/2017,Dome,409,67,49,5/7/2017 15:00,5/7/2017 17:20,59,2,1450
153,5/8/2017,Dome,409,67,49,5/8/2017 15:00,5/8/2017 17:20,30,1,1434
154,5/5/2017,Dome,405,49,72,5/5/2017 20:30,5/5/2017 23:30,141,2,857
155,5/6/2017,Dome,405,49,72,5/6/2017 20:30,5/6/2017 23:30,90,2,1688
156,5/7/2017,Dome,405,49,72,5/7/2017 20:30,5/7/2017 23:30,134,2,1795
157,5/8/2017,Dome,405,49,72,5/8/2017 20:30,5/8/2017 23:30,82,2,1604
158,5/7/2017,Dome,400,67,38,5/7/2017 8:30,5/7/2017 9:55,80,2,339
159,5/6/2017,Intl,430,49,37,5/6/2017 21:10,5/6/2017 23:20,105,2,1573
160,5/5/2017,Dome,418,62,49,5/5/2017 20:20,5/5/2017 22:15,54,2,542
161,5/5/2017,Dome,428,49,62,5/5/2017 20:55,5/5/2017 22:45,41,1,653
162,5/6/2017,Dome,428,49,62,5/6/2017 20:55,5/6/2017 22:45,6,2,1014
163,5/7/2017,Dome,428,49,62,5/7/2017 21:05,5/7/2017 22:45,30,1,955
164,5/8/2017,Dome,428,49,62,5/8/2017 20:55,5/8/2017 22:45,43,1,582
165,5/5/2017,Dome,419,49,57,5/5/2017 7:45,5/5/2017 9:35,88,2,1132
166,5/6/2017,Dome,419,49,57,5/6/2017 7:45,5/6/2017 9:35,19,2,880
167,5/7/2017,Dome,419,49,57,5/7/2017 7:45,5/7/2017 9:35,48,2,1003
168,5/8/2017,Dome,419,49,57,5/8/2017 7:45,5/8/2017 9:35,19,2,1011
169,5/5/2017,Intl,422,49,22,5/5/2017 11:45,5/5/2017 16:10,104,2,2339
170,5/6/2017,Intl,422,49,22,5/6/2017 11:45,5/6/2017 16:10,16,2,3009
171,5/7/2017,Intl,422,49,22,5/7/2017 11:45,5/7/2017 16:10,105,2,2763
172,5/8/2017,Intl,422,49,22,5/8/2017 11:45,5/8/2017 16:10,108,2,3145
173,5/5/2017,Dome,431,49,62,5/5/2017 12:30,5/5/2017 14:15,47,2,972
174,5/6/2017,Dome,431,49,62,5/6/2017 12:30,5/6/2017 14:15,91,2,449
175,5/7/2017,Dome,431,49,62,5/7/2017 12:30,5/7/2017 14:15,41,1,422
176,5/8/2017,Dome,431,49,62,5/8/2017 12:30,5/8/2017 14:15,80,2,437
177,5/5/2017,Dome,416,49,32,5/5/2017 22:00,5/5/2017 23:45,126,2,776
178,5/6/2017,Dome,416,49,32,5/6/2017 22:00,5/6/2017 23:45,9,2,662
179,5/7/2017,Dome,416,49,32,5/7/2017 22:00,5/7/2017 23:45,48,2,595
180,5/8/2017,Dome,416,49,32,5/8/2017 22:00,5/8/2017 23:45,57,2,930
181,5/5/2017,Dome,429,62,49,5/5/2017 7:30,5/5/2017 9:20,58,2,903
182,5/8/2017,Dome,429,62,49,5/8/2017 7:30,5/8/2017 9:20,30,1,810
183,5/5/2017,Dome,420,57,49,5/5/2017 10:50,5/5/2017 12:35,88,2,805
184,5/6/2017,Dome,420,57,49,5/6/2017 10:50,5/6/2017 12:35,19,2,698
185,5/7/2017,Dome,420,57,49,5/7/2017 10:50,5/7/2017 12:35,48,2,854
186,5/8/2017,Dome,420,57,49,5/8/2017 10:50,5/8/2017 12:35,19,2,568
187,5/6/2017,Dome,423,62,49,5/6/2017 17:20,5/6/2017 19:10,6,2,669
188,5/7/2017,Dome,423,62,49,5/7/2017 17:20,5/7/2017 19:10,102,2,673
189,5/5/2017,Dome,423,62,49,5/5/2017 17:20,5/5/2017 19:10,59,2,1004
190,5/8/2017,Dome,423,62,49,5/8/2017 17:20,5/8/2017 19:10,57,2,1066
191,5/6/2017,Dome,429,62,49,5/6/2017 7:30,5/6/2017 9:20,41,1,864
192,5/7/2017,Dome,429,62,49,5/7/2017 7:30,5/7/2017 9:20,37,2,504
193,5/5/2017,Dome,417,49,62,5/5/2017 17:30,5/5/2017 19:15,54,2,380
194,5/7/2017,Dome,417,49,62,5/7/2017 17:30,5/7/2017 19:15,56,2,524
195,5/5/2017,Intl,430,22,49,5/5/2017 15:40,5/5/2017 20:10,115,2,2792
196,5/7/2017,Intl,430,22,49,5/7/2017 15:40,5/7/2017 20:10,108,2,3230
197,5/8/2017,Intl,430,22,49,5/8/2017 15:40,5/8/2017 19:55,95,2,3026
198,5/5/2017,Dome,421,49,62,5/5/2017 14:30,5/5/2017 16:15,59,2,367
199,5/6/2017,Dome,421,49,62,5/6/2017 14:30,5/6/2017 16:15,6,2,1079
200,5/7/2017,Dome,421,49,62,5/7/2017 14:30,5/7/2017 16:15,102,2,727
201,5/8/2017,Dome,421,49,62,5/8/2017 14:30,5/8/2017 16:15,57,2,796
202,5/5/2017,Dome,424,49,62,5/5/2017 8:55,5/5/2017 10:40,56,2,744
203,5/6/2017,Dome,424,49,62,5/6/2017 8:55,5/6/2017 10:40,30,1,705
204,5/7/2017,Dome,424,49,62,5/7/2017 8:55,5/7/2017 10:40,26,3,922
205,5/8/2017,Dome,424,49,62,5/8/2017 8:55,5/8/2017 10:40,57,2,708
206,5/5/2017,Intl,430,49,37,5/5/2017 21:10,5/5/2017 23:20,115,2,1130
207,5/7/2017,Intl,430,49,37,5/7/2017 21:10,5/7/2017 23:20,108,2,1476
208,5/8/2017,Intl,430,49,37,5/8/2017 21:10,5/8/2017 23:20,95,2,1304
209,5/7/2017,Dome,418,62,49,5/7/2017 20:20,5/7/2017 22:15,56,2,850
210,5/5/2017,Intl,422,37,49,5/5/2017 8:35,5/5/2017 10:40,104,2,1105
211,5/6/2017,Intl,422,37,49,5/6/2017 8:35,5/6/2017 10:40,16,2,1172
212,5/7/2017,Intl,422,37,49,5/7/2017 8:35,5/7/2017 10:40,105,2,1237
213,5/8/2017,Intl,422,37,49,5/8/2017 8:35,5/8/2017 10:40,108,2,1166
214,5/5/2017,Dome,425,62,49,5/5/2017 11:40,5/5/2017 13:30,56,2,449
215,5/7/2017,Dome,425,62,49,5/7/2017 11:40,5/7/2017 13:30,26,3,977
216,5/6/2017,Intl,430,22,49,5/6/2017 15:40,5/6/2017 19:55,105,2,2428
217,5/6/2017,Dome,425,62,49,5/6/2017 11:40,5/6/2017 13:30,30,1,538
218,5/8/2017,Dome,425,62,49,5/8/2017 11:40,5/8/2017 13:30,57,2,855
219,5/8/2017,Dome,444,62,50,5/8/2017 15:05,5/8/2017 16:30,65,2,848
220,5/5/2017,Intl,454,49,27,5/5/2017 14:15,5/5/2017 17:15,8,2,2077
221,5/7/2017,Intl,454,49,27,5/7/2017 14:15,5/7/2017 17:15,8,2,2050
222,5/7/2017,Dome,439,62,49,5/7/2017 19:00,5/7/2017 21:00,75,2,648
223,5/5/2017,Dome,439,62,49,5/5/2017 19:00,5/5/2017 21:00,30,1,713
224,5/5/2017,Dome,444,62,50,5/5/2017 15:05,5/5/2017 16:30,117,2,425
225,5/6/2017,Dome,444,62,50,5/6/2017 15:05,5/6/2017 16:30,65,2,776
226,5/5/2017,Dome,455,50,62,5/5/2017 18:30,5/5/2017 19:50,26,3,378
227,5/7/2017,Dome,455,50,62,5/7/2017 18:30,5/7/2017 19:50,55,2,641
228,5/8/2017,Dome,455,50,62,5/8/2017 18:30,5/8/2017 19:50,53,2,524
229,5/7/2017,Intl,441,16,49,5/7/2017 14:20,5/7/2017 17:30,7,2,1974
230,5/5/2017,Dome,447,49,62,5/5/2017 19:00,5/5/2017 20:45,93,2,810
231,5/6/2017,Dome,447,49,62,5/6/2017 19:00,5/6/2017 20:45,48,2,791
232,5/7/2017,Dome,447,49,62,5/7/2017 19:00,5/7/2017 20:45,57,2,749
233,5/8/2017,Dome,447,49,62,5/8/2017 19:00,5/8/2017 20:45,29,3,379
234,5/7/2017,Intl,434,49,16,5/7/2017 9:30,5/7/2017 12:45,7,2,1878
235,5/7/2017,Dome,456,62,50,5/7/2017 21:05,5/7/2017 22:35,55,2,802
236,5/8/2017,Dome,456,62,50,5/8/2017 21:05,5/8/2017 22:35,53,2,698
237,5/5/2017,Intl,441,16,49,5/5/2017 13:50,5/5/2017 17:10,18,2,2240
238,5/6/2017,Intl,441,16,49,5/6/2017 14:20,5/6/2017 17:30,58,2,2257
239,5/8/2017,Intl,441,16,49,5/8/2017 14:20,5/8/2017 17:30,6,2,2223
240,5/6/2017,Dome,448,62,49,5/6/2017 21:45,5/6/2017 23:35,48,2,839
241,5/5/2017,Dome,457,49,57,5/5/2017 15:00,5/5/2017 16:45,109,2,375
242,5/6/2017,Dome,457,49,57,5/6/2017 15:00,5/6/2017 16:45,18,2,794
243,5/7/2017,Dome,457,49,57,5/7/2017 15:00,5/7/2017 16:45,94,2,763
244,5/8/2017,Dome,457,49,57,5/8/2017 15:00,5/8/2017 16:45,102,2,632
245,5/5/2017,Intl,434,49,16,5/5/2017 9:30,5/5/2017 12:50,18,2,2173
246,5/6/2017,Intl,434,49,16,5/6/2017 9:30,5/6/2017 12:45,58,2,2255
247,5/8/2017,Intl,434,49,16,5/8/2017 9:30,5/8/2017 12:45,6,2,1906
248,5/7/2017,Dome,448,62,49,5/7/2017 21:45,5/7/2017 23:35,57,2,930
249,5/5/2017,Dome,456,62,50,5/5/2017 21:05,5/5/2017 22:35,26,3,870
250,5/6/2017,Dome,456,62,50,5/6/2017 21:05,5/6/2017 22:35,44,1,615
251,5/5/2017,Dome,438,49,62,5/5/2017 16:00,5/5/2017 17:45,95,2,727
252,5/6/2017,Dome,438,49,62,5/6/2017 16:00,5/6/2017 17:45,94,2,799
253,5/7/2017,Dome,438,49,62,5/7/2017 16:00,5/7/2017 17:45,74,2,680
254,5/8/2017,Dome,438,49,62,5/8/2017 16:00,5/8/2017 17:45,41,1,532
255,5/5/2017,Dome,448,62,49,5/5/2017 21:45,5/5/2017 23:35,93,2,701
256,5/8/2017,Dome,448,62,49,5/8/2017 21:45,5/8/2017 23:35,29,3,488
257,5/6/2017,Dome,455,50,62,5/6/2017 18:30,5/6/2017 19:50,44,1,513
258,5/5/2017,Dome,443,50,62,5/5/2017 11:35,5/5/2017 12:55,83,2,769
259,5/6/2017,Dome,443,50,62,5/6/2017 11:35,5/6/2017 12:55,73,2,713
260,5/7/2017,Dome,443,50,62,5/7/2017 11:35,5/7/2017 12:55,38,2,496
261,5/8/2017,Dome,443,50,62,5/8/2017 11:35,5/8/2017 12:55,39,2,414
262,5/5/2017,Intl,451,27,49,5/5/2017 14:05,5/5/2017 16:45,14,2,1670
263,5/7/2017,Intl,451,27,49,5/7/2017 14:05,5/7/2017 16:45,14,2,1814
264,5/5/2017,Intl,451,49,22,5/5/2017 17:45,5/5/2017 22:10,14,2,3020
265,5/7/2017,Intl,451,49,22,5/7/2017 17:45,5/7/2017 22:10,14,2,3043
266,5/8/2017,Dome,439,62,49,5/8/2017 19:00,5/8/2017 20:55,31,1,614
267,5/5/2017,Intl,454,22,49,5/5/2017 8:55,5/5/2017 13:15,8,2,3049
268,5/7/2017,Intl,454,22,49,5/7/2017 8:55,5/7/2017 13:15,8,2,2881
269,5/5/2017,Dome,432,62,49,5/5/2017 15:20,5/5/2017 17:10,47,2,894
270,5/6/2017,Dome,432,62,49,5/6/2017 15:20,5/6/2017 17:10,91,2,669
271,5/7/2017,Dome,432,62,49,5/7/2017 15:20,5/7/2017 17:10,41,1,1060
272,5/8/2017,Dome,432,62,49,5/8/2017 15:20,5/8/2017 17:10,80,2,1119
273,5/6/2017,Dome,439,62,49,5/6/2017 19:00,5/6/2017 21:00,94,2,889
274,5/7/2017,Dome,444,62,50,5/7/2017 15:05,5/7/2017 16:30,96,2,777
275,5/5/2017,Intl,17,14,49,5/5/2017 20:45,5/5/2017 22:05,106,2,873
276,5/6/2017,Intl,17,14,49,5/6/2017 20:45,5/6/2017 22:05,93,2,781
277,5/5/2017,Dome,29,60,79,5/5/2017 11:00,5/5/2017 12:30,123,2,531
278,5/6/2017,Dome,29,60,79,5/6/2017 11:00,5/6/2017 12:30,53,2,663
279,5/7/2017,Dome,29,60,79,5/7/2017 11:00,5/7/2017 12:30,122,2,518
280,5/8/2017,Dome,29,60,79,5/8/2017 11:00,5/8/2017 12:30,126,2,858
281,5/5/2017,Dome,32,49,79,5/5/2017 7:50,5/5/2017 11:10,107,2,1591
282,5/6/2017,Dome,32,49,79,5/6/2017 7:50,5/6/2017 11:10,68,2,1082
283,5/7/2017,Dome,32,49,79,5/7/2017 7:50,5/7/2017 11:10,36,2,823
284,5/8/2017,Dome,32,49,79,5/8/2017 7:50,5/8/2017 11:10,67,2,1680
285,5/5/2017,Intl,2,14,49,5/5/2017 12:20,5/5/2017 13:40,109,2,814
286,5/6/2017,Intl,2,14,49,5/6/2017 12:20,5/6/2017 13:40,18,2,894
287,5/7/2017,Intl,2,14,49,5/7/2017 12:20,5/7/2017 13:40,94,2,929
288,5/8/2017,Intl,2,14,49,5/8/2017 12:20,5/8/2017 13:40,102,2,745
289,5/5/2017,Intl,8,17,49,5/5/2017 9:00,5/5/2017 11:55,15,2,1856
290,5/6/2017,Intl,8,17,49,5/6/2017 9:00,5/6/2017 11:55,108,2,1964
291,5/7/2017,Intl,8,17,49,5/7/2017 9:00,5/7/2017 11:55,19,2,2099
292,5/8/2017,Intl,8,17,49,5/8/2017 9:00,5/8/2017 11:55,109,2,1806
